Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
78,Entry long,2019-10-29 16:00,Long,27062,37.4,1012118.8,299.2,0.03,1047.2,0.10,-860.2,-0.08,13063.8,1.31
79,Exit long,2019-10-31 16:00,Exit Long Trailing,26988,37.5,1012987.5,-937.5,-0.09,675,0.07,-937.5,-0.09,12126.3,1.21
79,Entry long,2019-10-31 15:40,Long,27013,37.5,1012987.5,-937.5,-0.09,675,0.07,-937.5,-0.09,12126.3,1.21
80,Exit short,2019-11-18 15:55,Exit Short Trailing,28016,36.1,1011269.3,-108.3,-0.01,36.1,0.00,-505.4,-0.05,12018,1.20
80,Entry short,2019-11-18 15:50,Short,28013,36.1,1011269.3,-108.3,-0.01,36.1,0.00,-505.4,-0.05,12018,1.20
81,Exit short,2019-11-28 15:50,Exit Short Trailing,28119,35.9,1009436.2,-35.9,0.00,107.7,0.01,-215.4,-0.02,11982.1,1.20
81,Entry short,2019-11-28 15:45,Short,28118,35.9,1009436.2,-35.9,0.00,107.7,0.01,-215.4,-0.02,11982.1,1.20
82,Exit short,2019-12-06 15:50,Exit Short Trailing,27989,36.1,1010222.4,-180.5,-0.02,216.6,0.02,-252.7,-0.03,11801.6,1.18
82,Entry short,2019-12-06 15:45,Short,27984,36.1,1010222.4,-180.5,-0.02,216.6,0.02,-252.7,-0.03,11801.6,1.18
83,Exit long,2019-12-11 15:55,Exit Long Trailing,27846,36.3,1010991.3,-181.5,-0.02,181.5,0.02,-544.5,-0.05,11620.1,1.16
83,Entry long,2019-12-11 15:50,Long,27851,36.3,1010991.3,-181.5,-0.02,181.5,0.02,-544.5,-0.05,11620.1,1.16
84,Exit short,2019-12-16 16:05,Cierre forzoso fin sesión,28336,35.6,1008868.4,106.8,0.01,142.4,0.01,-142.4,-0.01,11726.9,1.17
84,Entry short,2019-12-16 16:00,Short,28339,35.6,1008868.4,106.8,0.01,142.4,0.01,-142.4,-0.01,11726.9,1.17
85,Exit short,2019-12-17 16:05,Cierre forzoso fin sesión,28320,35.7,1010345.7,-678.3,-0.07,35.7,0.00,-785.4,-0.08,11048.6,1.10
85,Entry short,2019-12-17 16:00,Short,28301,35.7,1010345.7,-678.3,-0.07,35.7,0.00,-785.4,-0.08,11048.6,1.10
86,Exit short,2019-12-23 15:50,Exit Short Trailing,28600,35.3,1009862.4,282.4,0.03,423.6,0.04,-70.6,-0.01,11331,1.13
86,Entry short,2019-12-23 15:45,Short,28608,35.3,1009862.4,282.4,0.03,423.6,0.04,-70.6,-0.01,11331,1.13
87,Exit short,2020-01-14 15:45,Exit Short Trailing,28995,34.9,1011262.4,-663.1,-0.07,244.3,0.02,-732.9,-0.07,10667.9,1.07
87,Entry short,2020-01-14 15:40,Short,28976,34.9,1011262.4,-663.1,-0.07,244.3,0.02,-732.9,-0.07,10667.9,1.07
88,Exit short,2020-02-12 16:00,Exit Short Trailing,29504,34.2,1008216,-820.8,-0.08,444.6,0.04,-820.8,-0.08,9847.1,0.98
88,Entry short,2020-02-12 15:45,Short,29480,34.2,1008216,-820.8,-0.08,444.6,0.04,-820.8,-0.08,9847.1,0.98
89,Exit long,2020-04-13 16:05,Cierre forzoso fin sesión,23300,43.4,1009570.8,1649.2,0.16,1736,0.17,-1909.6,-0.19,11496.3,1.15
89,Entry long,2020-04-13 15:50,Long,23262,43.4,1009570.8,1649.2,0.16,1736,0.17,-1909.6,-0.19,11496.3,1.15
90,Exit long,2020-04-17 16:05,Cierre forzoso fin sesión,23882,42.3,1011054.6,-846,-0.08,1226.7,0.12,-1480.5,-0.15,10650.3,1.07
90,Entry long,2020-04-17 15:35,Long,23902,42.3,1011054.6,-846,-0.08,1226.7,0.12,-1480.5,-0.15,10650.3,1.07
91,Exit short,2020-04-23 16:05,Cierre forzoso fin sesión,23777,42.5,1009970,-552.5,-0.05,2380,0.24,-892.5,-0.09,10097.8,1.01
91,Entry short,2020-04-23 15:35,Short,23764,42.5,1009970,-552.5,-0.05,2380,0.24,-892.5,-0.09,10097.8,1.01
92,Exit long,2020-04-30 15:55,Exit Long Trailing,24288,41.5,1008533,-581,-0.06,705.5,0.07,-664,-0.07,9516.8,0.95
92,Entry long,2020-04-30 15:50,Long,24302,41.5,1008533,-581,-0.06,705.5,0.07,-664,-0.07,9516.8,0.95
93,Exit short,2020-05-07 15:55,Exit Short Trailing,24071,41.9,1008281.6,-293.3,-0.03,712.3,0.07,-1215.1,-0.12,9223.5,0.92
93,Entry short,2020-05-07 15:45,Short,24064,41.9,1008281.6,-293.3,-0.03,712.3,0.07,-1215.1,-0.12,9223.5,0.92
94,Exit long,2020-07-17 16:05,Cierre forzoso fin sesión,26716,37.7,1006853.9,339.3,0.03,565.5,0.06,-263.9,-0.03,9562.8,0.96
94,Entry long,2020-07-17 15:55,Long,26707,37.7,1006853.9,339.3,0.03,565.5,0.06,-263.9,-0.03,9562.8,0.96
95,Exit long,2020-08-17 15:40,Exit Long Trailing,27868,36.2,1008568.2,253.4,0.03,579.2,0.06,-108.6,-0.01,9816.2,0.98
95,Entry long,2020-08-17 15:35,Long,27861,36.2,1008568.2,253.4,0.03,579.2,0.06,-108.6,-0.01,9816.2,0.98
96,Exit short,2020-08-19 15:40,Exit Short Trailing,27867,36.2,1009111.2,325.8,0.03,325.8,0.03,-253.4,-0.03,10142,1.01
96,Entry short,2020-08-19 15:35,Short,27876,36.2,1009111.2,325.8,0.03,325.8,0.03,-253.4,-0.03,10142,1.01
97,Exit short,2020-08-20 15:45,Exit Short Trailing,27682,36.4,1007734,109.2,0.01,400.4,0.04,-291.2,-0.03,10251.2,1.03
97,Entry short,2020-08-20 15:40,Short,27685,36.4,1007734,109.2,0.01,400.4,0.04,-291.2,-0.03,10251.2,1.03
98,Exit long,2020-08-25 15:45,Exit Long Trailing,28108,35.9,1010118.3,-1041.1,-0.10,538.5,0.05,-1471.9,-0.15,9210.1,0.92
98,Entry long,2020-08-25 15:40,Long,28137,35.9,1010118.3,-1041.1,-0.10,538.5,0.05,-1471.9,-0.15,9210.1,0.92
99,Exit long,2020-10-14 15:55,Exit Long Trailing,28512,35.3,1008521,-2047.4,-0.20,458.9,0.05,-2153.3,-0.21,7162.7,0.72
99,Entry long,2020-10-14 15:50,Long,28570,35.3,1008521,-2047.4,-0.20,458.9,0.05,-2153.3,-0.21,7162.7,0.72
100,Exit long,2020-11-17 16:05,Cierre forzoso fin sesión,29726,33.8,1004671.2,67.6,0.01,540.8,0.05,-371.8,-0.04,7230.3,0.72
100,Entry long,2020-11-17 15:55,Long,29724,33.8,1004671.2,67.6,0.01,540.8,0.05,-371.8,-0.04,7230.3,0.72
101,Exit long,2020-12-10 16:05,Cierre forzoso fin sesión,30068,33.5,1005971.5,1306.5,0.13,1507.5,0.15,-971.5,-0.10,8536.8,0.85
101,Entry long,2020-12-10 15:40,Long,30029,33.5,1005971.5,1306.5,0.13,1507.5,0.15,-971.5,-0.10,8536.8,0.85
102,Exit long,2021-01-25 15:55,Exit Long Trailing,30814,32.6,1005579.6,-1043.2,-0.10,97.8,0.01,-1825.6,-0.18,7493.6,0.75
102,Entry long,2021-01-25 15:50,Long,30846,32.6,1005579.6,-1043.2,-0.10,97.8,0.01,-1825.6,-0.18,7493.6,0.75
103,Exit long,2021-01-25 16:05,Cierre forzoso fin sesión,30649,32.8,1007124,-1836.8,-0.18,1410.4,0.14,-2558.4,-0.25,5656.8,0.57
103,Entry long,2021-01-25 16:00,Long,30705,32.8,1007124,-1836.8,-0.18,1410.4,0.14,-2558.4,-0.25,5656.8,0.57
104,Exit long,2021-02-16 15:55,Exit Long Trailing,31487,31.8,1002844.8,-1558.2,-0.16,190.8,0.02,-2035.2,-0.20,4098.6,0.41
104,Entry long,2021-02-16 15:50,Long,31536,31.8,1002844.8,-1558.2,-0.16,190.8,0.02,-2035.2,-0.20,4098.6,0.41
105,Exit long,2021-03-19 16:05,Cierre forzoso fin sesión,32765,30.7,1003398.8,2486.7,0.25,3131.4,0.31,-245.6,-0.02,6585.3,0.66
105,Entry long,2021-03-19 15:35,Long,32684,30.7,1003398.8,2486.7,0.25,3131.4,0.31,-245.6,-0.02,6585.3,0.66
106,Exit short,2021-03-24 16:05,Cierre forzoso fin sesión,32754,30.7,1004319.8,-1228,-0.12,0,0.00,-1381.5,-0.14,5357.3,0.54
106,Entry short,2021-03-24 16:00,Short,32714,30.7,1004319.8,-1228,-0.12,0,0.00,-1381.5,-0.14,5357.3,0.54
107,Exit long,2021-03-30 15:45,Exit Long Trailing,33091,30.4,1005297.6,668.8,0.07,699.2,0.07,-152,-0.02,6026.1,0.60
107,Entry long,2021-03-30 15:40,Long,33069,30.4,1005297.6,668.8,0.07,699.2,0.07,-152,-0.02,6026.1,0.60
108,Exit short,2021-04-05 15:45,Exit Short Trailing,33584,29.9,1003952.3,-209.3,-0.02,89.7,0.01,-239.2,-0.02,5816.8,0.58
108,Entry short,2021-04-05 15:40,Short,33577,29.9,1003952.3,-209.3,-0.02,89.7,0.01,-239.2,-0.02,5816.8,0.58
109,Exit long,2021-04-20 15:50,Exit Long Trailing,33767,29.7,1004008.5,-1128.6,-0.11,178.2,0.02,-1128.6,-0.11,4688.2,0.47
109,Entry long,2021-04-20 15:45,Long,33805,29.7,1004008.5,-1128.6,-0.11,178.2,0.02,-1128.6,-0.11,4688.2,0.47
110,Exit short,2021-04-23 16:05,Cierre forzoso fin sesión,33995,29.5,1002587,-265.5,-0.03,0,0.00,-413,-0.04,4422.7,0.44
110,Entry short,2021-04-23 16:00,Short,33986,29.5,1002587,-265.5,-0.03,0,0.00,-413,-0.04,4422.7,0.44
111,Exit long,2021-04-28 15:40,Exit Long Trailing,33883,29.6,1002581.6,355.2,0.04,414.4,0.04,-29.6,0.00,4777.9,0.48
111,Entry long,2021-04-28 15:35,Long,33871,29.6,1002581.6,355.2,0.04,414.4,0.04,-29.6,0.00,4777.9,0.48
112,Exit long,2021-05-12 15:50,Exit Long Trailing,33911,29.5,1003295,-2920.5,-0.29,0,0.00,-2920.5,-0.29,1857.4,0.19
112,Entry long,2021-05-12 15:45,Long,34010,29.5,1003295,-2920.5,-0.29,0,0.00,-2920.5,-0.29,1857.4,0.19
113,Exit short,2021-05-13 16:05,Cierre forzoso fin sesión,34003,29.4,998688.6,-999.6,-0.10,411.6,0.04,-2146.2,-0.21,857.8,0.09
113,Entry short,2021-05-13 15:45,Short,33969,29.4,998688.6,-999.6,-0.10,411.6,0.04,-2146.2,-0.21,857.8,0.09
114,Exit long,2021-05-18 15:45,Exit Long Trailing,34250,29.2,1000742.4,-642.4,-0.06,87.6,0.01,-1051.2,-0.11,215.4,0.02
114,Entry long,2021-05-18 15:40,Long,34272,29.2,1000742.4,-642.4,-0.06,87.6,0.01,-1051.2,-0.11,215.4,0.02
115,Exit long,2021-05-19 16:05,Cierre forzoso fin sesión,33715,29.6,997993.6,-29.6,0.00,29.6,0.00,-858.4,-0.09,185.8,0.02
115,Entry long,2021-05-19 16:00,Long,33716,29.6,997993.6,-29.6,0.00,29.6,0.00,-858.4,-0.09,185.8,0.02
116,Exit long,2021-06-18 16:05,Cierre forzoso fin sesión,33421,29.9,999377.6,-89.7,-0.01,1136.2,0.11,-538.2,-0.05,96.1,0.01
116,Entry long,2021-06-18 15:35,Long,33424,29.9,999377.6,-89.7,-0.01,1136.2,0.11,-538.2,-0.05,96.1,0.01
117,Exit short,2021-07-02 15:55,Exit Short Trailing,34746,28.7,996923.2,-287,-0.03,28.7,0.00,-545.3,-0.05,-190.9,-0.02
117,Entry short,2021-07-02 15:50,Short,34736,28.7,996923.2,-287,-0.03,28.7,0.00,-545.3,-0.05,-190.9,-0.02
118,Exit short,2021-07-12 16:00,Exit Short Trailing,34967,28.6,999055.2,-1001,-0.10,286,0.03,-1001,-0.10,-1191.9,-0.12
118,Entry short,2021-07-12 15:35,Short,34932,28.6,999055.2,-1001,-0.10,286,0.03,-1001,-0.10,-1191.9,-0.12
119,Exit short,2021-07-13 15:55,Exit Short Trailing,34990,28.5,996987,-228,-0.02,171,0.02,-313.5,-0.03,-1419.9,-0.14
119,Entry short,2021-07-13 15:50,Short,34982,28.5,996987,-228,-0.02,171,0.02,-313.5,-0.03,-1419.9,-0.14
120,Exit short,2021-07-23 16:05,Cierre forzoso fin sesión,35013,28.5,997614,-256.5,-0.03,0,0.00,-712.5,-0.07,-1676.4,-0.17
120,Entry short,2021-07-23 16:00,Short,35004,28.5,997614,-256.5,-0.03,0,0.00,-712.5,-0.07,-1676.4,-0.17
121,Exit long,2021-09-07 15:50,Exit Long Trailing,35105,28.4,997777.2,-795.2,-0.08,113.6,0.01,-795.2,-0.08,-2471.6,-0.25
121,Entry long,2021-09-07 15:40,Long,35133,28.4,997777.2,-795.2,-0.08,113.6,0.01,-795.2,-0.08,-2471.6,-0.25
122,Exit long,2021-09-10 16:05,Cierre forzoso fin sesión,34800,28.6,994565,715,0.07,886.6,0.09,-829.4,-0.08,-1756.6,-0.18
122,Entry long,2021-09-10 15:35,Long,34775,28.6,994565,715,0.07,886.6,0.09,-829.4,-0.08,-1756.6,-0.18
