Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
4766,Entry short,2021-02-03 21:05,Short,30772,32.4,997012.8,-583.2,-0.06,162,0.02,-583.2,-0.06,-3051.4,-0.31
4767,Exit short,2021-02-03 23:05,Exit Short Trailing,30791,32.3,994678.5,129.2,0.01,419.9,0.04,-161.5,-0.02,-2922.2,-0.29
4767,Entry short,2021-02-03 23:00,Short,30795,32.3,994678.5,129.2,0.01,419.9,0.04,-161.5,-0.02,-2922.2,-0.29
4768,Exit long,2021-02-04 06:00,Exit Long Trailing,30664,32.5,996482.5,97.5,0.01,747.5,0.08,-292.5,-0.03,-2824.7,-0.28
4768,Entry long,2021-02-04 05:45,Long,30661,32.5,996482.5,97.5,0.01,747.5,0.08,-292.5,-0.03,-2824.7,-0.28
4769,Exit short,2021-02-04 07:00,Exit Short Trailing,30711,32.4,995198.4,162,0.02,259.2,0.03,0,0.00,-2662.7,-0.27
4769,Entry short,2021-02-04 06:55,Short,30716,32.4,995198.4,162,0.02,259.2,0.03,0,0.00,-2662.7,-0.27
4770,Exit short,2021-02-04 10:15,Exit Short Trailing,30733,32.4,996073.2,324,0.03,356.4,0.04,-226.8,-0.02,-2338.7,-0.23
4770,Entry short,2021-02-04 10:10,Short,30743,32.4,996073.2,324,0.03,356.4,0.04,-226.8,-0.02,-2338.7,-0.23
4771,Exit short,2021-02-04 14:40,Exit Short Trailing,30832,32.3,995324.5,-549.1,-0.06,742.9,0.07,-549.1,-0.06,-2887.8,-0.29
4771,Entry short,2021-02-04 14:35,Short,30815,32.3,995324.5,-549.1,-0.06,742.9,0.07,-549.1,-0.06,-2887.8,-0.29
4772,Exit short,2021-02-04 16:10,Exit Short Trailing,31000,32.1,995067.9,-32.1,0.00,192.6,0.02,-353.1,-0.04,-2919.9,-0.29
4772,Entry short,2021-02-04 16:05,Short,30999,32.1,995067.9,-32.1,0.00,192.6,0.02,-353.1,-0.04,-2919.9,-0.29
4773,Exit short,2021-02-04 17:50,Exit Short Trailing,30969,32.1,993976.5,-128.4,-0.01,256.8,0.03,-192.6,-0.02,-3048.3,-0.30
4773,Entry short,2021-02-04 17:45,Short,30965,32.1,993976.5,-128.4,-0.01,256.8,0.03,-192.6,-0.02,-3048.3,-0.30
4774,Exit short,2021-02-04 18:55,Exit Short Trailing,30978,32.1,994779,385.2,0.04,513.6,0.05,-32.1,0.00,-2663.1,-0.27
4774,Entry short,2021-02-04 18:50,Short,30990,32.1,994779,385.2,0.04,513.6,0.05,-32.1,0.00,-2663.1,-0.27
4775,Exit short,2021-02-04 19:10,Exit Short Trailing,31003,32.1,995292.6,96.3,0.01,256.8,0.03,-32.1,0.00,-2566.8,-0.26
4775,Entry short,2021-02-04 19:05,Short,31006,32.1,995292.6,96.3,0.01,256.8,0.03,-32.1,0.00,-2566.8,-0.26
4776,Exit short,2021-02-04 20:15,Exit Short Trailing,30958,32.1,994682.7,930.9,0.09,930.9,0.09,-513.6,-0.05,-1635.9,-0.16
4776,Entry short,2021-02-04 19:55,Short,30987,32.1,994682.7,930.9,0.09,930.9,0.09,-513.6,-0.05,-1635.9,-0.16
4777,Exit short,2021-02-04 20:35,Exit Short Trailing,30974,32.2,997556,193.2,0.02,386.4,0.04,-289.8,-0.03,-1442.7,-0.14
4777,Entry short,2021-02-04 20:30,Short,30980,32.2,997556,193.2,0.02,386.4,0.04,-289.8,-0.03,-1442.7,-0.14
4778,Exit short,2021-02-04 23:50,Exit Short Trailing,31079,32.1,997154.4,-481.5,-0.05,609.9,0.06,-674.1,-0.07,-1924.2,-0.19
4778,Entry short,2021-02-04 21:35,Short,31064,32.1,997154.4,-481.5,-0.05,609.9,0.06,-674.1,-0.07,-1924.2,-0.19
4779,Exit short,2021-02-08 01:25,Exit Short Trailing,31257,31.9,996970.7,-127.6,-0.01,191.4,0.02,-159.5,-0.02,-2051.8,-0.21
4779,Entry short,2021-02-08 01:20,Short,31253,31.9,996970.7,-127.6,-0.01,191.4,0.02,-159.5,-0.02,-2051.8,-0.21
4780,Exit short,2021-02-08 02:40,Exit Short Trailing,31284,31.9,997895.8,-63.8,-0.01,223.3,0.02,-159.5,-0.02,-2115.6,-0.21
4780,Entry short,2021-02-08 02:35,Short,31282,31.9,997895.8,-63.8,-0.01,223.3,0.02,-159.5,-0.02,-2115.6,-0.21
4781,Exit long,2021-02-09 11:25,Exit Long Trailing,31293,31.9,997672.5,574.2,0.06,574.2,0.06,-63.8,-0.01,-1541.4,-0.15
4781,Entry long,2021-02-09 11:10,Long,31275,31.9,997672.5,574.2,0.06,574.2,0.06,-63.8,-0.01,-1541.4,-0.15
